tomcat7-new,app-ucpis.war,192.168.65.21,/opt/oracle/tomcat/t-23/webapps,ucpis
tomcat7-new,app-ucpis.war,192.168.65.22,/opt/oracle/tomcat/t-23/webapps,ucpis
tomcat7-new,app-ums.war,192.168.65.15,/opt/oracle/tomcat/t-7/webapps,ums
tomcat7-new,app-ums.war,192.168.65.16,/opt/oracle/tomcat/t-7/webapps,ums
tomcat7-new,app-unifyauth-hessian.war,192.168.65.5,/opt/oracle/tomcat/t-2/webapps,unifyauth-hessian
tomcat7-new,app-unifyauth.war,192.168.65.2,/opt/oracle/tomcat/t-5/webapps,unifyauth
tomcat7-new,app-unifyauth.war,192.168.65.4,/opt/oracle/tomcat/t-5/webapps,unifyauth
tomcat7-new,app-vmtw.war,192.168.65.33,/opt/oracle/tomcat/t-1/webapps,vmtw
tomcat7-new,app-vmtw.war,192.168.65.35,/opt/oracle/tomcat/t-1/webapps,vmtw
tomcat7-new,app-vpos.war,192.168.65.17,/opt/oracle/tomcat/t-9/webapps,vpos
tomcat7-new,app-vpos.war,192.168.65.25,/opt/oracle/tomcat/t-9/webapps,vpos
tomcat7-new,app-watcher-m.war,192.168.65.21,/opt/oracle/tomcat/t-2/webapps,watcher-m
tomcat7-new,app-watcher-m.war,192.168.65.22,/opt/oracle/tomcat/t-2/webapps,watcher-m
tomcat7-new,app-watcher-s.war,192.168.65.21,/opt/oracle/tomcat/t-1/webapps,watcher-s
tomcat7-new,app-watcher-s.war,192.168.65.22,/opt/oracle/tomcat/t-1/webapps,watcher-s
tomcat7-new,app-watcher.war,192.168.65.33,/opt/oracle/tomcat/t-2/webapps,watcher
tomcat7-new,app-watcher.war,192.168.65.35,/opt/oracle/tomcat/t-2/webapps,watcher
weblogic,app-ws-mbrinfo.war,192.168.65.141,7001,base_domain,MbrinfoServer-125,app-ws-mbrinfo,192.168.65.141
weblogic,app-ws-mbrinfo.war,192.168.65.141,7001,base_domain,MbrinfoServer-126,app-ws-mbrinfo,192.168.65.142
